Locus_tag	Peptidase type
TVAG_238680	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_230700	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_227060	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_213290	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_184220	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_162950	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_161600	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_151300	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_142720	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_124770	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_109360	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_103310	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_090450	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_090240	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_083790	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_079860	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_062550	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_054370	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_045540	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_042330	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_035830	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_035840	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_028690	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_003700	"Clan SB, family S8, subtilisin-like serine peptidase"
TVAG_482780	"Clan SC, family S28, unassigned serine peptidase"
TVAG_474950	"Clan SC, family S28, unassigned serine peptidase"
TVAG_462680	"Clan SC, family S28, unassigned serine peptidase"
TVAG_432040	"Clan SC, family S28, unassigned serine peptidase"
TVAG_399070	"Clan SC, family S28, unassigned serine peptidase"
TVAG_362350	"Clan SC, family S28, unassigned serine peptidase"
TVAG_263290	"Clan SC, family S28, unassigned serine peptidase"
TVAG_160020	"Clan SC, family S28, unassigned serine peptidase"
TVAG_121720	"Clan SC, family S28, unassigned serine peptidase"
TVAG_114870	"Clan SC, family S28, unassigned serine peptidase"
TVAG_023320	"Clan SC, family S28, unassigned serine peptidase"
TVAG_009830	"Clan SC, family S28, unassigned serine peptidase"
TVAG_466760	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_401580	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_374960	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_373610	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_284210	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_251570	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_165300	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_157410	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_124760	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_120390	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_106830	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_074970	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_072730	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_057110	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_032110	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_020790	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_008710	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_119190	"Clan SC, family S33, methylesterase-like serine peptidase"
TVAG_051090	"Clan SC, family S9, acylaminoacyl-peptidase-like serine peptidase"
TVAG_479170	"Clan SC, family S9, unassigned serine peptidase"
TVAG_316560	"Clan SC, family S9, unassigned serine peptidase"
TVAG_262420	"Clan SC, family S9, unassigned serine peptidase"
TVAG_043720	"Clan SC, family S9, unassigned serine peptidase"
TVAG_011790	"Clan SC, family S9, unassigned serine peptidase"
TVAG_240820	"Clan SF, family S26, signal peptidase I-like serine peptidase"
TVAG_226550	"Clan U, family U48, CaaX prenyl peptidase 2-like"
TVAG_340740	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_293540	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_267300	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_206040	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_185200	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_103780	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_004060	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_058050	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_408570	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_403280	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_290960	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_286960	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_231360	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_152400	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_013010	"Family T1, proteasome alpha subunit, threonine peptidase"
TVAG_258340	"Family T2, asparaginase-like threonine peptidase"
TVAG_030910	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_030890	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_030950	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_030830	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_039280	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_073630	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_083050	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_090920	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_110920	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_122240	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_127230	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_158070	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_191500	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_223530	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_271810	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_271760	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_278480	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_293080	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_337050	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_355620	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_367150	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
TVAG_399940	"Clan MA, family M8, leishmanolysin-like, but with substitutions in predicted amino acids essential for function"
